yoninaldo's Exotic Luxury Motors|888 Elite Boulevard|555-787-9900
12345|2021|Mercedes-Benz|S-Class|CAR|Black|18750|89995.00
23456|2022|BMW|X7|SUV|White|12300|92500.00
34567|2020|Audi|A8|CAR|Black|22450|75995.00
45678|2021|Lexus|LS 500|CAR|Silver|19800|79500.00
56789|2025|Porsche|Cayenne|SUV|Red|9200|105750.00
67890|2020|Bentley|Continental GT|CAR|Green|15600|165000.00
78901|2021|Range Rover|Velar|SUV|Black|17800|78500.00
89012|2022|Jaguar|F-Type|CAR|Red|7500|98750.00
90123|2025|Cadillac|Escalade|SUV|White|21300|92500.00
10234|2020|Ferrari|488 GTB|CAR|Red|4800|325000.00
11235|2025|Ferrari|SF90 Stradale|CAR|Yellow|2100|695000.00
12346|2025|Lamborghini|Huracan EVO|CAR|Green|3500|275000.00
13579|2021|Lamborghini|Aventador SVJ|CAR|Blue|1800|570000.00
24680|2020|Bugatti|Chiron|CAR|Blue|1200|3200000.00
35791|2021|Bugatti|Veyron|CAR|Black|2800|1900000.00
46802|2022|Ford|F-150 Raptor|TRUCK|White|8500|85000.00
57913|2021|Chevrolet|Silverado 1500|TRUCK|Red|12000|65000.00
68024|2022|RAM|1500 TRX|TRUCK|Gray|5800|92000.00
79135|2020|Toyota|Tundra|TRUCK|White|18500|52000.00
80246|2021|GMC|Sierra Denali|TRUCK|Black|10200|73500.00
91357|2022|Mercedes-Benz|Sprinter|VAN|White|3500|85000.00
02468|2021|Ford|Transit|VAN|Red|12000|55000.00
13579|2020|Chrysler|Pacifica|VAN|Black|25000|42000.00
24680|2022|Toyota|Sienna|VAN|Silver|8500|49000.00
35791|2021|Honda|Odyssey|VAN|Gray|15000|45000.00
